,fecha,valor,temperatura
130,2020-03-06 10:00:00,False,287.23570033482144
131,2020-03-06 11:00:00,False,287.98701171875
132,2020-03-06 12:00:00,False,286.86528862847223
133,2020-03-06 13:00:00,False,290.9710693359375
134,2020-03-06 14:00:00,False,293.6833224826389
135,2020-03-06 15:00:00,False,298.089990234375
136,2020-03-06 16:00:00,True,
137,2020-03-06 17:00:00,True,
138,2020-03-06 18:00:00,True,
139,2020-03-06 19:00:00,False,305.95127360026044
140,2020-03-06 20:00:00,False,302.089453125
141,2020-03-06 21:00:00,True,
142,2020-03-06 22:00:00,True,
143,2020-03-06 23:00:00,True,
144,2020-03-07 00:00:00,True,
145,2020-03-07 01:00:00,True,
146,2020-03-07 02:00:00,True,
147,2020-03-07 03:00:00,False,288.54359266493054
148,2020-03-07 04:00:00,False,286.7762451171875
149,2020-03-07 05:00:00,False,286.2886013454861
150,2020-03-07 06:00:00,False,286.3385959201389
151,2020-03-07 07:00:00,True,
152,2020-03-07 08:00:00,False,281.93678501674106
153,2020-03-07 09:00:00,False,285.56415473090277
154,2020-03-07 10:00:00,False,284.8233235677083
155,2020-03-07 11:00:00,False,285.37358940972223
156,2020-03-07 12:00:00,False,286.1599934895833
157,2020-03-07 13:00:00,False,287.93321010044644
158,2020-03-07 14:00:00,True,
159,2020-03-07 15:00:00,True,
160,2020-03-07 16:00:00,True,
161,2020-03-07 17:00:00,True,
162,2020-03-07 18:00:00,True,
163,2020-03-07 19:00:00,True,
164,2020-03-07 20:00:00,True,
165,2020-03-07 21:00:00,True,
166,2020-03-07 22:00:00,True,
167,2020-03-07 23:00:00,True,
168,2020-03-08 00:00:00,False,287.6844970703125
169,2020-03-08 01:00:00,True,
170,2020-03-08 02:00:00,True,
171,2020-03-08 03:00:00,False,286.46112738715277
172,2020-03-08 04:00:00,False,286.10186767578125
173,2020-03-08 05:00:00,True,
174,2020-03-08 06:00:00,True,
175,2020-03-08 07:00:00,False,283.05499267578125
176,2020-03-08 08:00:00,False,284.197509765625
177,2020-03-08 09:00:00,True,
178,2020-03-08 10:00:00,True,
179,2020-03-08 11:00:00,True,
180,2020-03-08 12:00:00,True,
181,2020-03-08 13:00:00,True,
182,2020-03-08 14:00:00,True,
183,2020-03-08 15:00:00,True,
184,2020-03-08 16:00:00,True,
185,2020-03-08 17:00:00,True,
186,2020-03-08 18:00:00,True,
187,2020-03-08 19:00:00,True,
188,2020-03-08 20:00:00,False,300.2705078125
189,2020-03-08 21:00:00,False,297.1167689732143
190,2020-03-08 22:00:00,False,294.6875
191,2020-03-08 23:00:00,False,290.8352864583333
192,2020-03-09 00:00:00,False,289.99908447265625
193,2020-03-09 01:00:00,False,288.88572474888394
194,2020-03-09 02:00:00,False,287.7584228515625
195,2020-03-09 03:00:00,False,286.7042759486607
196,2020-03-09 04:00:00,False,287.47715541294644
197,2020-03-09 05:00:00,True,
198,2020-03-09 06:00:00,True,
199,2020-03-09 07:00:00,True,
200,2020-03-09 08:00:00,True,
201,2020-03-09 09:00:00,False,286.022509765625
202,2020-03-09 10:00:00,True,
203,2020-03-09 11:00:00,True,
204,2020-03-09 12:00:00,False,285.53667534722223
205,2020-03-09 13:00:00,False,288.95166015625
206,2020-03-09 14:00:00,False,291.81280517578125
207,2020-03-09 15:00:00,False,298.68332926432294
208,2020-03-09 16:00:00,True,
209,2020-03-09 17:00:00,True,
210,2020-03-09 18:00:00,True,
211,2020-03-09 19:00:00,True,
212,2020-03-09 20:00:00,True,
213,2020-03-09 21:00:00,True,
214,2020-03-09 22:00:00,True,
215,2020-03-09 23:00:00,True,
216,2020-03-10 00:00:00,True,
217,2020-03-10 01:00:00,True,
218,2020-03-10 02:00:00,True,
219,2020-03-10 03:00:00,True,
220,2020-03-10 04:00:00,True,
221,2020-03-10 05:00:00,True,
222,2020-03-10 06:00:00,False,287.4705078125
223,2020-03-10 07:00:00,True,
224,2020-03-10 08:00:00,True,
225,2020-03-10 09:00:00,True,
226,2020-03-10 10:00:00,True,
227,2020-03-10 11:00:00,True,
228,2020-03-10 12:00:00,True,
229,2020-03-10 13:00:00,True,
230,2020-03-10 14:00:00,True,
231,2020-03-10 15:00:00,True,
232,2020-03-10 16:00:00,True,
233,2020-03-10 17:00:00,True,
234,2020-03-10 18:00:00,True,
235,2020-03-10 19:00:00,True,
236,2020-03-10 20:00:00,True,
237,2020-03-10 21:00:00,True,
238,2020-03-10 22:00:00,True,
239,2020-03-10 23:00:00,True,
240,2020-03-11 00:00:00,True,
241,2020-03-11 01:00:00,True,
242,2020-03-11 02:00:00,True,
243,2020-03-11 03:00:00,True,
244,2020-03-11 04:00:00,True,
245,2020-03-11 05:00:00,True,
246,2020-03-11 06:00:00,True,
247,2020-03-11 07:00:00,True,
248,2020-03-11 08:00:00,True,
249,2020-03-11 09:00:00,True,
250,2020-03-11 10:00:00,True,
251,2020-03-11 11:00:00,True,
252,2020-03-11 12:00:00,True,
253,2020-03-11 13:00:00,True,
254,2020-03-11 14:00:00,True,
255,2020-03-11 15:00:00,True,
256,2020-03-11 16:00:00,True,
257,2020-03-11 17:00:00,True,
258,2020-03-11 18:00:00,True,
259,2020-03-11 19:00:00,True,
260,2020-03-11 20:00:00,True,
